x,y,time
500.13825778518753,499.66025024880275,733.3000000119209
501.51312879054984,495.3868597857722,18509.60000000894
506.6413576705356,483.13797480037897,19105.5
493.7967123220046,443.21757164858127,20017.80000001192
454.5673387726626,415.763246339117,20468.5
423.5834839317081,378.2727868550203,21138.60000000894
382.1686565727235,277.8316245232181,21495.70000000298
310.5620135432652,183.58417524709665,21906.20000000298
240.9999157413754,104.45554741363145,22402.60000000894
186.04558374368253,50.9022524816881,22788.30000001192
116.77362426413376,47.943717257590414,23135.70000000298
200.8615159905723,43.20509434992719,24070.5
282.22401871809984,90.29720572008004,24442.90000000596
289.9338294195083,106.42210119250755,24798.40000000596
448.68728297090314,120.759843679452,25165.70000000298
574.0481469044728,177.6374400241824,25491.60000000894
674.3996936717124,186.68383990714563,26109.10000000894
751.4122456978969,175.64254225576823,26541.30000001192
868.6305401182544,189.56751125957513,26940.30000001192
844.2046932157893,199.1056872495374,27412.40000000596
741.7191776986756,198.6159266673722,28562.80000001192
635.9717652391296,275.6238494511932,30341.70000000298
524.8156435831261,324.6762396606202,30765
455.6214436968995,332.33937273795686,31496.70000000298
381.71570930894256,394.5899206675224,32181.20000000298
345.7831579759705,500.9357418671706,32723.60000000894
348.5964577574276,537.9088825582201,33545.80000001192
352.59802656085816,638.3406160442107,34274.60000000894
366.4531203960272,708.5072223731562,34651
346.05628163106394,720.1610203874952,34996.20000000298
248.04701199280976,649.4485209413467,35681.30000001192
364.9376584486747,642.55354876466,36590.80000001192
400.7954590904647,584.0285454924732,37439.70000000298
500.6031789815178,570.1119247591207,37923.30000001192
581.8174851067031,576.8858717053087,38351.70000000298
626.4252001435085,527.572856173023,38852.10000000894
697.4161862152998,543.6255264472571,39235.70000000298
699.4232630220794,536.0916043942646,40474.30000001192
904.3019730039274,290.7039503263027,41198.5
0,0,0
1168.0765625390861,64.93106101202366,42487.60000000894
1111.2302591438624,138.96629059192023,44057.10000000894
1280.0351851322398,-55.8036411897738,45474.70000000298
1421.426405844006,-189.37345564554872,46654.20000000298
1168.2131862510878,-144.3271751367733,47950.90000000596
1144.1248165425638,-37.147689062643366,49554.40000000596
1079.8399885746842,129.40802942177115,50618.10000000894
963.8597473490535,150.73037795038272,52675.90000000596
787.7147935222566,212.44192924922027,53742.60000000894
667.3297793138938,347.32439867399455,54707.60000000894
655.0833876293328,359.8956175284272,55150.60000000894
622.1642635971494,299.61012848671106,55630.70000000298
628.7060017219426,301.4573146151907,56112.90000000596
463.2239705773462,327.4852023692107,56684.20000000298
489.68136419713846,401.7384636525773,58232.80000001192
401.2557448750023,446.0713907605875,59933.70000000298
311.467159826246,444.31258944023745,60639.40000000596
276.3002721956825,326.32105540593506,61192.90000000596
187.779719488058,245.82954853531737,61718.5
117.18803621042576,313.1715616618342,62317.5
236.78181867147245,323.5621392916322,63002.10000000894
200.2841952849974,347.27872020264095,63993.40000000596
205.00482210942917,336.87399207907896,64516.90000000596
189.09585629657664,349.43860902148,65115.30000001192
217.31103390181224,353.26391976740854,65701.70000000298
245.16075314514615,378.8081534727674,66297.40000000596
270.48678986727253,303.7370499590633,66725.10000000894
458.8408431445206,479.3547971804189,67412.30000001192
445.19427133075135,577.3857942542926,68306.30000001192
479.8137575083506,550.9178659513489,70215.80000001192
429.16880270427134,449.5274043416725,72006.60000000894
371.46522155203434,393.56033426402325,75563.90000000596
420.2084043598724,313.69366525060735,78539
394.9150899811215,197.54008730948374,81959.30000001192
534.607486641689,196.03988018993454,84413.60000000894
777.6741057538969,166.77348856992677,86408.90000000596
623.1440504371938,154.76476926924414,87593.70000000298
756.619711028985,364.2428405387428,90213.40000000596
857.3981357520679,481.7054794227003,90780.90000000596
779.091009990757,459.67079134842504,92248.90000000596
1040.6293159445663,303.11806515990975,94190.80000001192
963.2577206411016,242.42896241337573,95712.5
